IHR,date,equip,cat1,cat2,hazard,location,risk,event,desc,invest
1718,13-01-07 8:50,B 1900D,Operations procedures,,Occurrence,Departure from CET2,High Risk,A VFR departure from CET2 climbing out on course through 9000 feet was told by edmonton centre on initial contact that CYR-221 airspace was active.  Advised them we would decend to 6500 feet immedietly to celar the airspace.Once celar of CYR-221 we climbed to flight planned altitude and continued on course.,"Was unable to find a NOTAM to see if CYR-221 airspace was active. Did not ask edmonton centre on the way into CET2 if the CYR-221 airspace was active. Decided to do a VFR departure instead of following the SID out of CET2 because of other aircraft inbound to CET2, and VFR weather conditions. CYR-221 airspace starts at 7000 feet and we climbed into the airspace, unaware it was active.","January 7 2013\r\nVern Lace-Q/A Manager maintenance\r\nNo maintenance action required\r\nQ/A Manager Flight ops to determine risk\r\n\r\n2013 01 07 21:23z.  Tom Blacklock HF, I have requested the audio for this event from NavCanada.\r\n\r\nJames Wakuchyk QA Flt Ops Jan 7 2013 3PM initial risk rating high, waiting to discuss with VP re  infraction.\r\n\r\nAndrew Matson - SMS - January 8, 2013  1050L\r\nCADORS report attached to file.\r\n\r\nJames Wakulchyk QA Flt Ops Jan 9 2PM discussed with VP Ops; POI notified of potential CARs infraction.\r\n\r\nJanuary 15 2013\r\nDeborah Kominko ACP 703/704\r\nInvestigation notes from January 9 missing from report. Will re-enter.\r\n\r\nSpoke with both crew members to clarify that CYR airspace will only issue NOTAMs when the airspace is INactive, while CYA airspace must issue NOTAMs when airspace is ACtive (CAPS intentional). The investigation has determined that this is a single point failure and an HF related incident. \r\n\r\nFollowing the HF flow chart, it has been determined the following:\r\nInadvertent Error - Thinking Error - Rule Based Mistake. Poor application of a good rule. The crew mistakenly believed that there would be a NOTAM advising that the airspace was active, when in fact this airspace is always active. NOTAMs would only be used to declare the airspace inactive. \r\n\r\nIn review, the impact to safety management and the likelihood of reoccurrence is determined to be low.  This investigation has been reviewed and determined to be managed to As Low As Reasonably Practical (ALARP), and meets the SMS requirements for a root cause analysis.  The cause has been determined to be a human error and unintentional deviation from a single standard, procedure or process.  The individual was provided all appropriate training on these procedures, but failed to carry out the requirement of this single task.  My investigation has determined this decision was not affected by an external or environmental influence, which could have contributed to the decision made by the individual(s).  This situation as reported has not occurred within the framework of recent guidance and the originator has self-reported this deviation to record the event and to allow the organization to review for any possible improvement(s).   The report has been reviewed with the originator and they have been made aware of the significance or impacts of this event.\r\n\r\nInformation from NavCanada re the audio can be held on file, as it shows no discrepancy between the audio and the events as reported by the crew.\r\n\r\nNothing further required from flight ops. Recommended for closure.\r\n\r\nRichelle Singer-SMS-Feb 19, 2013-1400L\r\nSMS Committee Closed Report on Feb 14, 2013\r\n\r\nPer SMS Committee Request:\r\nCategory changed from Air Traffic Control to Operations Procedures\r\n\r\nFeb. 1 2014-1335 yxj\r\nVern Lace Q/A Manager maintenance\r\n Ihave reviewed and determined that this investigation and supporting documentation and found;\r\na.	 This report  does not generate any new opportunities to create a new audit\r\nb.	This report  does not generate any new opportunity to enhance and existing audit \r\nc.	This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n\r\nFeb. 13 2014\r\nJames Wakulchyk QA Mgr Flt Ops;  Ihave reviewed and determined that this investigation and supporting documentation and found;\r\na.  This report  does not generate any ne4w opportunities to create a new audit\r\nb.  This report  does not generate any new opportunity to enhance an existing audit \r\nc.  This report does generate opportunity for an addition to the NCFS Proactive Safety Register; Airspace Deviation; an aircraft deviating from a flight plan or clearance limit into restricted class F airspace, or into controlled airspace without an ATC clearance."
1719,13-01-08 3:00,DHC-8,Third Party Actions ,,Occurrence,On Apron,Low Risk,On Start up of # 2 Engine in Fort McMurry ground marshaller started to run towards the aircraft door. I signaled him to back away from aircraft.,Miss communication. On the flight from CYEG to CYMM we had to remove one flight attendant due to the passenger loads. She proceeded to CYMM in the jump seat of CGRNT so she could proceed back to Calgary. In CYMM she proceeded toward our aircraft but stopped due to she say our aircraft starting the #2 engine. The marshaller in my opinion was going towards the aircraft door to try to tell us we had a flight attendant who needed to board our aircraft.  ,"January 8 2013-8;33am\r\nVern Lace Q/A Manager maintenance\r\nNo maintenance action required\r\n\r\nJames Wakulchyk QA Flt OpsJan 9 2013 1:49PM  handling risk low assigned to manager for review.\r\n\r\nRichelle Singer-SMS-Jan 10, 2013-1100L\r\nHazard Identification changed from Proactive Safety Observation to Occurrence.\r\n\r\nJan, 11 2013\r\nDanny Shorten, Assistant Chief Pilot 705\r\nSpoke with crew. Crew acted in accordance with all applicable guidance (SOP, COM, AFM). Will contact the Ramp Manager to discuss further.\r\n\r\nJan, 11 2013\r\nDanny Shorten, Assistant Chief Pilot 705\r\nSpoke with the Manager of EFC in YMM. He is going to follow-up with the ramp crew. He thanked us for the information. No further action required. Recommended for closure.\r\n\r\nRichelle Singer-SMS-Feb 19, 2013-1400L\r\nSMS Committee Closed Report on Feb 14, 2013\r\n\r\nPer SMS Committee Request:\r\nCategory changed from Ground Servicing to Third Party Vendors or Contractors\r\n\r\nJames Wakulchyk Q/A Manager Flt ops June 10 2014;  I have reviewed this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n"
1720,13-01-08 8:00,BE 100,Component Failure (or part of),,Occurrence,after take-off CYEG,Low Risk,"on climb out of CYEG thru approx 3500' our Bleed air line failure annunciator light illuminated, we requested a priority return, ran checklists shut the R/H bleed air switch off and landed runway 30",old cracked tubing,"January 8 2012 1;05pm\r\nVern Lace-Q/A Manager maintenance\r\nHandling risk low\r\nThe defect was entered as required\r\nMaintenance will repair the defect TC 132313-5 and return the aircraft to service asap.\r\n\r\nAndrew Matson - SMS - Jan 9/2013  0930L\r\nCADORS report attached to file.\r\n\r\nAndrew Matson - SMS - Jan 9/2013 - 1200L\r\nAs per telecon with Wray Tsuji, TSB report is not required for this report\r\n\r\nJames Wakulchyk QA Flt Ops Jan 11 2013 9:27AM handling risk low.  Assigned.  Note:  QA sick Jan 8 and 9\r\n\r\nJanuary 12 2013 1151am\r\nVern Lace-Q/A Manager maintenance\r\nTransport Canada PMI advised.\r\n\r\nJanuary 21 2013\r\nDeborah Kominko ACP 703/704\r\nTechnical discussion between myself and manager, training and standards occurred re this SMS report. Spoke with captain. Crew requested priority handling for return to YEG, landed uneventfully. Did not shut down engine. Crew was unable to determine if turning off the bleed air isolated the failure. Nothing further required from flight ops. Recommended for closure.\r\n\r\nRichelle Singer-SMS-Feb 19, 2013-1400L\r\nSMS Committee Closed Report on Feb 14, 2013\r\n\r\nJames Wakulchyk Q/A Manager Flt ops June 10 2014;  I have reviewed this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n"
1721,13-01-10 7:00,None,Slip/Trip/Fall,,Occurrence,YYC ramp,Low Risk,"While returning the commensary cart we use to bring catering out to the a/c \r\nThe a/c was parked where minimal snow removal had taken place.\r\nThere were large snow drifts and icy conditions.\r\nReturning the cart with no help from crew members and or ramp staff. i dragged the cart through knee high snow drifts , watching for  other a/c other large machinery used for snow plowing, fuel trucks ect...while conducting my ramp related duty I fell tripping on large drift than slipping on ice underneath it. Flight attendants need assistance when trying to help by performing ramp related duties in extreme weather conditions. ",I feel the cause is flight attendants being assigned ramp related duties when it's incredibly hard in extreme weather ,"January 10 2012-8;16am\r\nVern Lace-Q/A Manager maintenance\r\nNo maintenance action required.\r\nHandling risk low\r\n\r\nRichelle Singer-SMS-Jan 10, 2013-1100L\r\nHazard Identification changed from Proactive Safety Observation to Occurrence.\r\n\r\nJames Wakulchyk QA Flt Ops Jan 11 2013 9:35AM handling risk low.  Assigned.\r\n\r\nTodd Chahley/Manager Cabin Safety - 05FEB13\r\nIssue of ramp areas was discussed during the Maintenance Meeting; although every attempt is made to ensure ramp areas are cleared of snow and ice, during periods of extreme weather and heavy snowfall, these areas may still have contamination on them. Flight Attendants have been advised via Inflight Memorandum 2013.03 - as attached - to request assistance in accessing and catering aircraft when ramp  conditions are less than ideal.\r\n\r\nNo further action required; recommend for closure/Todd Chahley/05FEB13\r\n\r\n\r\nRichelle Singer-SMS-Feb 19, 2013-1430L\r\nSMS Committee Closed Report on Feb 14, 2013\r\n\r\nRichelle Singer-SMS-Feb 19, 2013-1430L\r\nSMS Committee Closed Report on Feb 14, 2013\r\n\r\nPer SMS Committee Request:\r\nCategory changed from Cargo-Loading/Unloading to Slip/Trip/Fall\r\n\r\nJames Wakulchyk Q/A Manager Flt ops June 10 2014;  I have reviewed this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n"
1722,13-01-10 8:00,DHC-8,Airframe,,Occurrence,During climbout from CYEG to CYNR,Low Risk,Returned to CYEG due to extremely loud noise coming from front cabin emergency exit.,Cabin emergency exit air leak.,"January 11 2013 8;12am\r\nVern Lace Q/A Manager maintenance\r\nThe defect was entered as required maintenance rectified the defect TC 132273-10\r\nHandling risk low\r\nNo further maintenance action required\r\n\r\nJames Wakulchyk QA Flt Ops Jan 11 2013 9:27AM handling risk low.  Assigned.\r\n\r\nJanuary 11, 2013\r\nDanny Shorten, Assistant Chief pilot 705\r\nSpoke with the crew, Crew acted in accordance with all applicable guidance, SOP's, AFM, COM. No further action required. Recommended for closure.\r\n\r\nAndrew Matson - SMS - Feb 11, 2013  1230L\r\nReport recommended for administrative closure.  Vetting team consensus via email Feb 11, 2013.  Sent to Accountable Executive for review and closure.\r\n\r\nDan Wuthrich-Ae-April 26, 2013\r\nI am closing this report\r\n\r\nJames Wakulchyk Q/A Manager Flt ops June 10 2014;  I have reviewed this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n\r\n Vern Lace- December 10 2014 2014-Q/A Manager Maintenance\r\nI have reviewed and determined that this investigation and supporting documentation and found;\r\na.  This report  does not generate any new opportunities to create a new audit\r\nb.  This report  does not generate any new opportunity to enhance an existing audit\r\nc.  This report does not generate opportunity for an addition to the NCFS Proactive Safety \r\n\r\n"
1723,13-01-10 11:45,BE 100,Component Failure (or part of),,Occurrence,50NM north of CYEG ,Low Risk,"During Climb through 16500feet enroute to CYYE, I felt large yaw to the left and left engine sputtering ( surging). Looked at engine gauges and observed LH  ITT approx. 850-900 , LH torque 400ft lbs, LH fuel flow surging between 100-300 lbs/hr .  Called â€œmalfunction, max powerâ€.   We couldnâ€™t identify exactly what was happening to LH engine so I asked for Herman to reduce to power to decrease ITT to bring it below red line.  Once ITT was below red line the fuel flow stabilized at 200 lbs/hr and all other engine indications were stable/normal  for the reduced power setting (800ft lbs).  There were no other indications, all systems were working normally, and all engine anti-ice/anti-ice systems were on but not accumulating any ice.  While maintaining straight and level at 17000 and stable at 150kts,  I asked for Herman to increase power for troubleshooting.  As he increased power, through appox 1100 foot lbs of torque, all the same symptoms returned : LH  ITT approx. 850, LH torque 400ft lbs, LH fuel flow surging between 100-300 lbs/hr and engine sputtering. \r\nI immediately asked for Herman to bring it back to the reduced power setting.  I briefed Herman that we would maintain this power setting, closely monitor the engine gauges, and request with ATC that we return to CYEG due operational concerns- If the symptoms returned again we would consider an engine shut down and advise ATC at that time.  I was PF but passed control to Herman during descent to brief the passengers.  \r\nThe whole descent and approach was done with the reduced power setting and the symptoms did not re occur.  We landed uneventfully at 1915 Z. Passengers were arranged with another aircraft and defect discussed with maintained and entered in log book.  \r\n",Fuel/FCU failure ??,"January 11 2013 8;07am\r\nVern Lace- Q/A Manager maintenance\r\nHandling risk low\r\nThe defect was entered as required\r\nMaintenance will replace the engine WO 41299 and return the aircraft to service asap\r\n\r\nJames Wakulchyk QA Flt Ops Jan 11 2013 9:27AM handling risk low, Assigned.\r\n\r\nReassigned to Deborah, as this was during 703 operations.\r\n\r\nJanuary 15 2013\r\nDeborah Kominko ACP 703/704\r\nSpoke with captain shortly after this event occurred. Crew acted in accordance with all applicable guidance (SOP, QRH, AFM). \r\n\r\nAircraft was returned to service today.\r\n\r\nNothing further required from flight ops. Recommended for closure.\r\n\r\nRichelle Singer-SMS-Feb 19, 2013-1430L\r\nSMS Committee Closed Report on Feb 14, 2013\r\n\r\nPer SMS Committee Request:\r\nCategory changed from In-flight Diversion to Component Failure (or part of)\r\n\r\nJames Wakulchyk Q/A Manager Flt ops June 10 2014;  I have reviewed this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n\r\n\r\n"
1724,13-01-10 21:00,B 1900D,Crew- Duty Day (Unforeseen Circumstances),,Occurrence,Enroute from CYLW to CYYC,Low Risk,Duty Day was exceeded by 1.5 hours totaling a 15.5 hour duty day.  We arrived in Kelowna at 0049z. Due to flow control into Calgary we were unable to depart until 0222z. On duty Chief pilot (L.Benoit) was contacted to confirm applicability of unforeseen circumstances criteria. ,Poor weather in Calgary forcing runway closures. ,"January 11 2013-8;16 am\r\nVern Lace Q/A Manager maintenance\r\nNo maintenance action required\r\nQ/A Flight ops to determine risk\r\n\r\nJames Wakulchyk QA Flt Ops Jan 11 2013 9:27AM handling risk low meets spec for unforseen circumstance.  Assigned.  May be AC'd\r\n\r\nJanuary 15 2013\r\nDeborah Kominko ACP 703/704\r\nReport reviewed. Email sent to POI. May be AC'd. \r\n\r\nAndrew Matson - SMS - Feb 5, 2013  1745L\r\nReport recommended for administrative closure.  Sent to Accountable Executive for review and closure.\r\n\r\nDan Wuthrich-AE-April 26, 2013\r\nI am closing this report\r\nJames Wakulchyk Q/A Manager Flt ops June 10 2014;  I have reviewed this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n"
1725,13-01-10 22:55,DHC-8,Crew- Duty Day (Unforeseen Circumstances),,Occurrence,CET2 - CYYC,Low Risk,"Duty day exceeded due to unforeseen operational circumstances as follows:\r\n\r\n- Requested flow time ET2-YYC was 15:50\r\n\r\n- Time given 20:53, later amended to 22:54, and finally updated to 21:00\r\n\r\n- Crew concluded that this time would fall within the 17 hour limit and after consultation considered it safe to extend the flight duty time.\r\n\r\n- Departed ET2 a few minutes late (21:03) due to an aborted engine start\r\n\r\n- Ended up with a speed restriction enroute plus an ATC hold\r\n\r\n- Flight ended with a ramp delay (5 min) prior to engine shutdown\r\n\r\n*** All times local***\r\n ",Poor wx at YYC and single runway ops,"January 11 2013 8;19am\r\nVern Lace Q/A Manager maintenance\r\nNo maintenance action required\r\nFlight ops Q/A to determine risk\r\n\r\nJames Wakulchyk QA Flt Ops Jan 11 2013 9:27AM handling risk low meets spec for unforseen circumstance.  Assigned.  May be AC'd\r\n\r\nJan, 14 2013\r\nDanny Shorten, Assistant Chief Pilot 705\r\nSpoke with the crew. Crew acted in accordance with all aplicable guidance; CAR`s, SOP`s and COM. POI notified. No further action required. Recommended for closure.\r\n\r\nAndrew Matson - SMS - Feb 11, 2013  1230L\r\nReport recommended for administrative closure.  Vetting team consensus via email Feb 11, 2013.  Sent to Accountable Executive for review and closure.\r\n\r\nDan Wuthrich-AE-April 26, 2013\r\nI am closing this report"
1726,13-01-10 23:00,BE 200,Crew- Duty Day (Unforeseen Circumstances),,Occurrence,Rainbow Lake,Low Risk,"Extension to duty day due to unforeseen operational circumstances. \r\n\r\nFlow into YYC. Originally given a flow time of 0331Z, which put arrival into YYC at 0520Z, which was 20 mins past a 17 hour day. Elected to go to YBW.. Exceeded 14 hour day by 1 hr 19 mins. Landed in YBW at 0319Z. Started day at 1200Z. ",Flow.,"January 11 20138;21 am\r\nVern Lace Q/A Manager maintenance\r\nNo maintenance action required\r\nFlight ops Q/A To determine risk\r\n\r\nJames Wakulchyk QA Flt Ops Jan 11 2013 9:27AM handling risk low meets spec for unforseen circumstance.  Assigned.  May be AC'd\r\nLanny Benoit CP Jan 12, 2013\r\nUnder review, crew acted in accordance with NCA sop's, COM, \r\nMeets conditions for unforeseen  circumstances \r\nRFC \r\n'\r\nRichelle Singer-SMS-Jan 21, 2013-1418L\r\nPer Deborah Kominko Assistant Chief Pilot 703/704 email on Jan 21, 2013:\r\nNotified POI on January 21 via email.\r\nAdditional comments from crew: Departure delay out of YOP while re-flight planning to YBW, in order to leave earlier, along with flow. Very strong headwinds enroute to YBW, along with a hold at Dally. After landing in YBW, fuel truck broke while getting fuel in order to return to YYC. Ended up leaving airplane in YBW and taking taxi to YYC.\r\n\r\nAndrew Matson - SMS - Feb 11, 2013  1230L\r\nReport recommended for administrative closure.  Vetting team consensus via email Feb 11, 2013.  Sent to Accountable Executive for review and closure.\r\n\r\nDan Wuthrich-AE-April 26, 2013\r\nI am closing this report\r\n\r\nJames Wakulchyk Q/A Manager Flt ops June 10 2014;  I have reviewed this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n"
1727,13-01-11 11:00,None,Training,,Occurrence,12-09-17,High Risk,"On September 17, 2012Flight Attendant Holly Spate completed the online portion of her Annual Flight Attendant Training; upon completion of the course, the Inflight Institute generated the following message: \r\n\r\nDear HOLLY SPATE,\r\nCongratulations! You have completed your Inflight Institute coursework.\r\nYour completion number is HS-CD0C7\r\nYou must keep a copy of this completion number for your records. You may print this page or record your completion number on a separate sheet of paper.\r\nBest Regards,\r\nThe Inflight Institute\r\n\r\nThis message was inadvertently recorded as the completion of her Annual Interference With Crew Member Training Date. The original validity date for Flight Attendant Spate was 2012-12-01; when training requests were generated for Annual Interference With Crew Member Training her name was not recognized as the system was showing her with a new validity date of 2013-10-01.","Confusion on which course was completed via the Inflight Institute as the completion notification does not indicate which course was completed. Cabin Safety utilizes the Inflight Institute for both IWCM and AFATP, however does not record the date of the AFATP in the training records.\r\n\r\nThe date recorded and utilized for AFATP is the actual ground school date which includes evacuations.\r\n\r\n","January 11 2012 12;37pm\r\nVern Lace-Q/A Manager maintenance\r\nNo maintenance action required\r\nQ/A Flight ops to determine risk\r\n\r\nJames Wakulchyk QA Flight Ops Jan 11 2013 4:28PM.  Reviewed handling risk high.  Discussed with VP operations Jan 11.  Manager Cabin Safety emailed TC Cabin safety Jun 11 2013.\r\n\r\nTodd Chahley/Manager Cabin Safety 14JAN13\r\nAnnual Interference With Crew Member Training Course assigned to Flight Attendant Holly Spate on 11JAN13; course was successfully completed on 12JAN13 at 12:30 under certificate number HS-8AC0F;\r\nFlight Attendant Spate has been returned to active duty. \r\n\r\nFrom	Subject	Received	Size	Categories	\r\nInflight Institute Customer Care	Completion of your Inflight Institute Course - HS-8AC0F	Sat 12/01	11 KB		\r\nInflight Institute Customer Care	HOLLY SPATE - Welcome to North Cariboo Airlines's Unruly Passenger and Interference with Crew Member 2010 online training!	Sat 12/01	19 KB	\r\n\r\nTodd Chahley/Manager Cabin Safety 14JAN13\r\nRequest sent to Inflight Institute via email to request course notifications to	include actual course information; awaiting response from Inflight Institute programmers.\r\n\r\nTodd Chahley/Manager Cabin Safety 24JAN13\r\nConfirmation received from Inflight Institute that system has been upgraded to now indicate course information in automated messages including course assignment, course reminders, and course completion and certificate issued.\r\n\r\nThis investigation has been reviewed and determined to be managed to As Low As Reasonably Practical (ALARP). This statement constitutes a determination of cause being determined to be a Human Factors Failure, specifically an Inadvertent Thinking Error, Rule Based. The individual was provided all appropriate information on these procedures, but failed to carry out the requirement of this single task.  The report has been reviewed in depth and short-term and long-term corrective actions have taken place. Short Term - Flight Attendant removed from flight line until course completed; Long Term - training certificates issued from the Inflight Institute now contain course information.\r\n\r\nRecommend for closure; Todd Chahley/25JAN13\r\n\r\nJohn Green- VP Ops- 06 Feb 2013- Report and short term/long term corrective actions reviewed.  Recommended for closure.\r\n\r\n\r\nRichelle Singer-SMS-Feb 19, 2013-1430L\r\nSMS Committee Closed Report on Feb 14, 2013\r\n\r\nFeb. 1 2014-1332 yxj\r\nVern Lace Q/A Manager maintenance\r\n Ihave reviewed and determined that this investigation and supporting documentation and found;\r\na.	 This report  does not generate any new opportunities to create a new audit\r\nb.	This report  does not generate any new opportunity to enhance and existing audit \r\nc.	This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\nFeb. 13 2014\r\nJames Wakulchyk QA Mgr Flt Ops;  Ihave reviewed and determined that this investigation and supporting documentation and found;\r\na.  This report  does not generate any ne4w opportunities to create a new audit\r\nb.  This report  does not generate any new opportunity to enhance an existing audit \r\nc.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register"
